M,K,N,Transpose A,Transpose B
2042,2048,4096,0,0
2042,2560,4096,0,0
2042,3584,4096,0,0
2042,4096,10240,0,1
2042,8192,4096,0,1
4084,2048,4096,0,0
4084,2560,4096,0,0
4084,3584,4096,0,0
4084,4096,10240,0,1
4084,8192,4096,0,1
8168,2048,4096,0,0
8168,2560,4096,0,0
8168,3584,4096,0,0
8168,4096,10240,0,1
8168,8192,4096,0,1
256,1280,10240,0,1
256,1408,11264,0,1
256,3584,1024,0,1
256,5120,640,0,1
256,8192,4096,0,1
256,8192,8192,0,1
256,10240,3840,0,1
256,11264,1664,0,1
256,13664,5120,0,1
256,32768,1024,0,1
320,4096,8192,0,1
512,640,640,0,1
512,1024,8192,0,1
512,1280,10240,0,1
512,1792,14336,0,1
512,2048,8192,0,1
512,2752,8192,0,1
512,8192,8192,0,1
512,10240,1280,0,1
512,10240,3840,0,1
512,14336,5376,0,1
640,2816,41216,0,1
640,28672,256,0,1
856,8192,3424,0,1
896,768,1280,0,1
896,1024,1024,0,1
896,4096,1024,0,1
896,4096,8192,0,1
896,45056,4608,0,1
1024,1024,8192,0,1
1024,1792,14336,0,1
1024,3072,4096,0,1
1024,3584,1024,0,1
1024,4096,1024,0,1
1024,5120,640,0,1
1024,8192,7168,0,1
1024,11008,4096,0,1
1024,14336,1792,0,1
1024,15360,5120,0,1
1024,16384,13696,0,1
1024,17152,13056,0,1
1152,55040,4096,0,1
1280,2048,10240,0,1
1280,3840,18432,0,1
1280,8192,1280,0,1
1280,8192,5120,0,1
1280,16384,1696,0,1
1280,32256,7936,0,1
1344,2048,14336,0,1
1366,6144,8192,0,1
1536,3840,18432,0,1
1536,6144,8192,0,1
1536,16384,1696,0,1
1664,2048,17920,0,1
1728,4096,12288,0,1
1728,12288,4096,0,1
2048,1280,8192,0,1
2048,1536,6144,0,1
2048,3840,5120,0,1
2048,6656,4480,0,1
2048,6656,4992,0,1
2048,7808,12288,0,1
2048,11008,4096,0,1
2048,12288,1536,0,1
2048,12288,3904,0,1
2048,12288,4608,0,1
2048,16384,1024,0,1
2432,23296,9472,0,1
2560,128,16,0,1
2560,2048,1280,0,1
2560,2048,5120,0,1
2688,17152,7168,0,1
2708,6144,1408,0,1
3072,6912,4096,0,1
3072,8192,1536,0,1
3328,9984,10752,0,1
3328,15616,8192,0,1
3584,9984,10752,0,1
3840,2816,13056,0,1
3968,12544,6656,0,1
4072,5120,1696,0,1
4096,1,16,0,1
4096,1024,8192,0,1
4096,1376,4096,0,1
4096,1708,5120,0,1
4096,4096,27392,0,1
4096,5120,5120,0,1
4096,5504,8192,0,1
4096,6656,6656,0,1
4096,6912,4096,0,1
4096,8192,1024,0,1
4096,12544,6656,0,1
4096,27392,4096,0,1
4480,2048,6656,0,1
5632,677,256,0,1
5910,4096,4096,0,1
5910,4096,12288,0,1
5910,4096,16384,0,1
5910,12288,4096,0,1
5910,16384,4096,0,1
6144,17920,6656,0,1
7168,128,16,0,1
7680,512,6144,0,1
8192,128,128,0,1
8192,1024,1024,0,1
8192,2560,5120,0,1
8192,3424,8192,0,1
8192,4096,16,0,1
8192,4096,8192,0,1
8192,5120,640,0,1
8192,5120,2560,0,1
8192,5504,8192,0,1
8192,8192,1024,0,1
8192,8192,1280,0,1
8192,8192,2752,0,1
8192,8192,3072,0,1
8192,8192,4096,0,1
32768,128,128,0,1
32768,128,1024,0,1
32768,1024,128,0,1
32768,8192,3072,0,1
48000,50,3840,0,1
49280,77,2560,0,1
131072,128,128,0,1
